,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,loq,footnote,min_year_acquired,name,unit_name
319,377779,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
320,377866,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
321,378125,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
322,378131,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
323,378289,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
324,378583,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
325,378748,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
326,379055,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
327,379057,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
328,379066,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
329,379450,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
330,379723,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
331,379746,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
332,379886,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
333,380120,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
334,380212,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
335,380265,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
336,380267,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
337,380471,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
338,380708,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
339,381118,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
340,381249,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
341,381294,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
342,381315,1257,10.71,,70.0,,,,,,,"Fatty acids, total trans",G
343,381376,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
344,381482,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
345,381867,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
346,382154,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
347,382705,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
348,383612,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
349,383765,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
350,383893,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
351,383937,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
352,384085,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
353,384171,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
354,384437,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
355,384488,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
356,384775,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
357,384819,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
358,384998,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
359,385328,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
360,385974,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
361,386075,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
362,386090,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
363,386244,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
364,387606,1257,0.0,,70.0,,,,,,,"Fatty acids, total trans",G
